gap_category,gap_type,severity,description,impact,recommendation,evidence,source_documents,priority_score
integration,unmonitored_mpa,critical,MPA 'orta mesafeli' designated but no monitoring data found,Cannot assess effectiveness of protection for 'orta mesafeli',Establish monitoring program for 'orta mesafeli',"[""MPA 'orta mesafeli' found in legal documents"", 'No monitoring data source references this MPA']",[],5.0
legal,unregulated_activity,critical,Activity 'shipping' discussed in research but no regulations found,No legal framework for managing shipping,Develop regulations for shipping activities,"['Activity found in research papers', 'No matching prohibition, permit, or distance requirement found']",[],4.4
legal,unregulated_activity,critical,Activity 'mining' discussed in research but no regulations found,No legal framework for managing mining,Develop regulations for mining activities,"['Activity found in research papers', 'No matching prohibition, permit, or distance requirement found']",[],4.4
data,missing_data_type,critical,No bathymetric data for seabed mapping found in corpus,Cannot perform bathymetry-based analysis for MSP,Acquire or collect bathymetry data,"[""Data type 'bathymetry' not found among 3 available types""]",[],3.7
data,missing_data_type,critical,No biodiversity surveys for species distribution found in corpus,Cannot perform biodiversity-based analysis for MSP,Acquire or collect biodiversity data,"[""Data type 'biodiversity' not found among 3 available types""]",[],3.7
data,missing_data_type,critical,No fishing effort data for resource management found in corpus,Cannot perform fishing_effort-based analysis for MSP,Acquire or collect fishing_effort data,"[""Data type 'fishing_effort' not found among 3 available types""]",[],3.7
data,missing_data_type,critical,No socioeconomic data for impact assessment found in corpus,Cannot perform socioeconomic-based analysis for MSP,Acquire or collect socioeconomic data,"[""Data type 'socioeconomic' not found among 3 available types""]",[],3.7
data,missing_data_type,critical,No oceanographic data for physical characterization found in corpus,Cannot perform oceanographic-based analysis for MSP,Acquire or collect oceanographic data,"[""Data type 'oceanographic' not found among 3 available types""]",[],3.7
data,missing_data_type,critical,No water quality monitoring data found in corpus,Cannot perform water_quality-based analysis for MSP,Acquire or collect water_quality data,"[""Data type 'water_quality' not found among 3 available types""]",[],3.7
integration,method_legal_disconnect,important,Method 'suitability_analysis' used in 6 research papers but not referenced in legal framework,Research best practice (suitability_analysis) not codified in regulations,Consider incorporating suitability_analysis requirements into MSP regulations,"['Used in 6 research papers', 'Not found in legal documents']",[],3.5
integration,method_legal_disconnect,important,Method 'ecosystem_based_management' used in 37 research papers but not referenced in legal framework,Research best practice (ecosystem_based_management) not codified in regulations,Consider incorporating ecosystem_based_management requirements into MSP regulations,"['Used in 37 research papers', 'Not found in legal documents']",[],3.5
integration,method_legal_disconnect,important,Method 'conservation_planning_tool' used in 47 research papers but not referenced in legal framework,Research best practice (conservation_planning_tool) not codified in regulations,Consider incorporating conservation_planning_tool requirements into MSP regulations,"['Used in 47 research papers', 'Not found in legal documents']",[],3.5
research,method_gap,critical,Method 'gis_analysis' is underutilized (0 uses vs avg 10),MSP decisions may lack gis_analysis evidence base,Encourage use of gis_analysis in future MSP studies,"['Used in 0 papers, average method usage: 10']",[],3.4000000000000004
research,method_gap,critical,Method 'stakeholder_analysis' is underutilized (0 uses vs avg 10),MSP decisions may lack stakeholder_analysis evidence base,Encourage use of stakeholder_analysis in future MSP studies,"['Used in 0 papers, average method usage: 10']",[],3.4000000000000004
research,method_gap,critical,Method 'ecological_modeling' is underutilized (0 uses vs avg 10),MSP decisions may lack ecological_modeling evidence base,Encourage use of ecological_modeling in future MSP studies,"['Used in 0 papers, average method usage: 10']",[],3.4000000000000004
research,method_gap,critical,Method 'economic_analysis' is underutilized (0 uses vs avg 10),MSP decisions may lack economic_analysis evidence base,Encourage use of economic_analysis in future MSP studies,"['Used in 0 papers, average method usage: 10']",[],3.4000000000000004
research,method_gap,critical,Method 'cumulative_impact' is underutilized (0 uses vs avg 10),MSP decisions may lack cumulative_impact evidence base,Encourage use of cumulative_impact in future MSP studies,"['Used in 0 papers, average method usage: 10']",[],3.4000000000000004
research,method_gap,critical,Method 'scenario_planning' is underutilized (0 uses vs avg 10),MSP decisions may lack scenario_planning evidence base,Encourage use of scenario_planning in future MSP studies,"['Used in 0 papers, average method usage: 10']",[],3.4000000000000004
legal,missing_penalty,important,Prohibition on 'kapasitesinden fazla yolcu alan geminin seferine' has no associated penalty,Weak enforcement for kapasitesinden fazla yolcu alan geminin seferine violations,Define specific penalties for kapasitesinden fazla yolcu alan geminin seferine violations,['Prohibition found but no matching penalty extracted'],[],3.0
legal,missing_penalty,important,Prohibition on 'imalatla kullanılması' has no associated penalty,Weak enforcement for imalatla kullanılması violations,Define specific penalties for imalatla kullanılması violations,['Prohibition found but no matching penalty extracted'],[],3.0
legal,missing_penalty,important,Prohibition on 'yüzmek ve avlanmak' has no associated penalty,Weak enforcement for yüzmek ve avlanmak violations,Define specific penalties for yüzmek ve avlanmak violations,['Prohibition found but no matching penalty extracted'],[],3.0
legal,missing_penalty,important,Prohibition on 'uzaklaştırmak ve benzeri faaliyetlerde bulunmak' has no associated penalty,Weak enforcement for uzaklaştırmak ve benzeri faaliyetlerde bulunmak violations,Define specific penalties for uzaklaştırmak ve benzeri faaliyetlerde bulunmak violations,['Prohibition found but no matching penalty extracted'],[],3.0
legal,missing_penalty,important,Prohibition on 'fidan veya ağaç dikmek' has no associated penalty,Weak enforcement for fidan veya ağaç dikmek violations,Define specific penalties for fidan veya ağaç dikmek violations,['Prohibition found but no matching penalty extracted'],[],3.0
legal,missing_penalty,important,Prohibition on 'kuruluş ve işletmelere bu faaliyetler için' has no associated penalty,Weak enforcement for kuruluş ve işletmelere bu faaliyetler için violations,Define specific penalties for kuruluş ve işletmelere bu faaliyetler için violations,['Prohibition found but no matching penalty extracted'],[],3.0
legal,enforcement_gap,important,10 permit requirements lack specified issuing authority,Unclear who is responsible for permit issuance and enforcement,Specify responsible authority for each permit type,['10 permits without authority'],[],3.0
data,coverage_gap,important,80% of data sources lack coverage information,Cannot assess spatial/temporal completeness of data,Document spatial and temporal coverage for all datasets,['80/100 sources missing coverage info'],[],2.6000000000000005
research,geographic_gap,important,Protected area 'Doğal' mentioned in only 1 document(s),Insufficient research coverage for management of Doğal,Prioritize research in Doğal,['Mentioned in 1 documents'],[],2.4000000000000004
research,geographic_gap,important,Protected area 'Tapu kütüklerinde doğal' mentioned in only 1 document(s),Insufficient research coverage for management of Tapu kütüklerinde doğal,Prioritize research in Tapu kütüklerinde doğal,['Mentioned in 1 documents'],[],2.4000000000000004
research,geographic_gap,important,Protected area 'Milli Parklar Kanunu uyarınca' mentioned in only 1 document(s),Insufficient research coverage for management of Milli Parklar Kanunu uyarınca,Prioritize research in Milli Parklar Kanunu uyarınca,['Mentioned in 1 documents'],[],2.4000000000000004
research,geographic_gap,important,Protected area 'Planlama aşamasında' mentioned in only 1 document(s),Insufficient research coverage for management of Planlama aşamasında,Prioritize research in Planlama aşamasında,['Mentioned in 1 documents'],[],2.4000000000000004
research,geographic_gap,important,Protected area 'Koruma bölge kurulunca' mentioned in only 1 document(s),Insufficient research coverage for management of Koruma bölge kurulunca,Prioritize research in Koruma bölge kurulunca,['Mentioned in 1 documents'],[],2.4000000000000004
research,geographic_gap,important,Protected area '1983 tarihli ve 2873 sayılı' mentioned in only 1 document(s),Insufficient research coverage for management of 1983 tarihli ve 2873 sayılı,Prioritize research in 1983 tarihli ve 2873 sayılı,['Mentioned in 1 documents'],[],2.4000000000000004
research,geographic_gap,important,Protected area '1 inci derece doğal' mentioned in only 1 document(s),Insufficient research coverage for management of 1 inci derece doğal,Prioritize research in 1 inci derece doğal,['Mentioned in 1 documents'],[],2.4000000000000004
research,geographic_gap,important,Protected area 'ile 1 inci ve 2 nci derece arkeolojik' mentioned in only 1 document(s),Insufficient research coverage for management of ile 1 inci ve 2 nci derece arkeolojik,Prioritize research in ile 1 inci ve 2 nci derece arkeolojik,['Mentioned in 1 documents'],[],2.4000000000000004
research,geographic_gap,important,Protected area 'doğal sit alanları ve' mentioned in only 1 document(s),Insufficient research coverage for management of doğal sit alanları ve,Prioritize research in doğal sit alanları ve,['Mentioned in 1 documents'],[],2.4000000000000004
research,geographic_gap,important,Protected area 'lar Kanunu uyarınca' mentioned in only 1 document(s),Insufficient research coverage for management of lar Kanunu uyarınca,Prioritize research in lar Kanunu uyarınca,['Mentioned in 1 documents'],[],2.4000000000000004
research,geographic_gap,important,Protected area 'tabiatı' mentioned in only 1 document(s),Insufficient research coverage for management of tabiatı,Prioritize research in tabiatı,['Mentioned in 1 documents'],[],2.4000000000000004
research,geographic_gap,important,Protected area 'yaban hayatı' mentioned in only 1 document(s),Insufficient research coverage for management of yaban hayatı,Prioritize research in yaban hayatı,['Mentioned in 1 documents'],[],2.4000000000000004
research,geographic_gap,important,Protected area 'tür' mentioned in only 1 document(s),Insufficient research coverage for management of tür,Prioritize research in tür,['Mentioned in 1 documents'],[],2.4000000000000004
research,geographic_gap,important,Protected area 'kaydı konulmuş olan taşınmaz kültür varlıkları ile arkeolojik' mentioned in only 1 document(s),Insufficient research coverage for management of kaydı konulmuş olan taşınmaz kültür varlıkları ile arkeolojik,Prioritize research in kaydı konulmuş olan taşınmaz kültür varlıkları ile arkeolojik,['Mentioned in 1 documents'],[],2.4000000000000004
research,geographic_gap,important,Protected area '2873 sayılı' mentioned in only 1 document(s),Insufficient research coverage for management of 2873 sayılı,Prioritize research in 2873 sayılı,['Mentioned in 1 documents'],[],2.4000000000000004
research,geographic_gap,important,Protected area 'Mutlak' mentioned in only 1 document(s),Insufficient research coverage for management of Mutlak,Prioritize research in Mutlak,['Mentioned in 1 documents'],[],2.4000000000000004
research,geographic_gap,important,Protected area 'Kısa Mesafeli' mentioned in only 1 document(s),Insufficient research coverage for management of Kısa Mesafeli,Prioritize research in Kısa Mesafeli,['Mentioned in 1 documents'],[],2.4000000000000004
research,geographic_gap,important,Protected area 'Orta Mesafeli' mentioned in only 1 document(s),Insufficient research coverage for management of Orta Mesafeli,Prioritize research in Orta Mesafeli,['Mentioned in 1 documents'],[],2.4000000000000004
research,geographic_gap,important,Protected area 'Uzun Mesafeli' mentioned in only 1 document(s),Insufficient research coverage for management of Uzun Mesafeli,Prioritize research in Uzun Mesafeli,['Mentioned in 1 documents'],[],2.4000000000000004
data,resolution_gap,minor,100% of data sources lack resolution information,Cannot verify if data resolution is adequate for MSP,Specify resolution for all spatial datasets,['100/100 sources missing resolution'],[],1.5000000000000002
